Accident_Index;Number_of_Vehicles;Number_of_Casualties;Date;Time;Speed_limit;Road_conditions;Weather_conditions;Day;Road_type;Light_conditions;biker_gender;biker_severity_injury;biker_age_group
19954100B0030;2;1;1995-01-25;22:45;30.0;Wet;Clear and windy;Wednesday;Single carriageway;Darkness lights lit;Male;Slight;26 to 35
19954100B0031;2;1;1995-01-26;17:30;60.0;Wet;Clear and windy;Thursday;Single carriageway;Darkness lights lit;Male;Slight;26 to 35
19954100B0043;2;1;1995-01-24;06:40;50.0;Dry;Clear;Tuesday;Single carriageway;Daylight;Male;Slight;26 to 35
19954100B0050;2;1;1995-02-21;11:00;30.0;Dry;Clear;Tuesday;Single carriageway;Daylight;Male;Slight;11 to 15
19954100B0056;2;1;1995-02-22;19:10;30.0;Snow;Snow and windy;Wednesday;Roundabout;Darkness lights lit;Male;Slight;26 to 35
19954100B0058;2;1;1995-02-03;12:30;30.0;Dry;Clear;Thursday;Roundabout;Daylight;Female;Slight;21 to 25
19954100B0060;2;1;1995-05-03;13:30;60.0;Dry;Clear;Sunday;Single carriageway;Daylight;Male;Slight;11 to 15
19954100B0065;2;2;1995-12-03;20:25;70.0;Dry;Clear;Sunday;Dual carriageway;Darkness no lights;Female;Serious;56 to 65
19954100B0069;2;1;1995-12-03;11:05;60.0;Dry;Clear;Sunday;Single carriageway;Daylight;Male;Slight;26 to 35
19954100B0083;2;1;1995-03-23;16:00;30.0;Dry;Clear;Thursday;Roundabout;Daylight;Male;Slight;21 to 25
19954100B0097;2;1;1995-11-04;17:30;30.0;Dry;Clear;Tuesday;Single carriageway;Daylight;Female;Slight;21 to 25
19954100B0098;2;1;1995-04-16;09:55;40.0;Dry;Clear;Sunday;Single carriageway;Daylight;Male;Slight;11 to 15
19954100B0099;2;1;1995-04-19;08:00;60.0;Dry;Clear;Wednesday;Single carriageway;Daylight;Female;Slight;21 to 25
19954100B0103;2;1;1995-04-23;17:40;30.0;Dry;Clear;Sunday;Single carriageway;Daylight;Female;Serious;46 to 55
19954100B0123;2;2;1995-05-17;09:45;30.0;Wet;Rain;Wednesday;Roundabout;Daylight;Female;Slight;16 to 20
19954100B0136;2;1;1995-02-06;14:00;60.0;Dry;Clear;Friday;Single carriageway;Daylight;Male;Slight;6 to 10
19954100B0146;2;1;1995-12-06;18:20;30.0;Dry;Clear;Monday;Single carriageway;Daylight;Male;Slight;21 to 25
19954100B0150;2;1;1995-06-16;19:15;30.0;Dry;Clear;Friday;Dual carriageway;Daylight;Male;Slight;36 to 45
19954100B0153;2;1;1995-06-14;17:30;30.0;Dry;Clear;Wednesday;Single carriageway;Daylight;Male;Slight;6 to 10
19954100B0160;2;2;1995-06-22;19:00;70.0;Dry;Clear;Thursday;Dual carriageway;Daylight;Male;Serious;11 to 15
